text,label
""" 

 ==balance== 
 This page has one sentence about the basic definition of the word, and a huge amount about the slang/profane uses. Perhaps the former should be extended; is there no information about female dogs available beyond their name? This is an encyclopaedia, not a dictionary.  

  
 i feel that whoever is looking this definition up is very appropiate and should be deleted from wikipedia...IMMEDIATLY. this word is used very often and is also a very """"mean"""" word. i belive that is majorly true. very much so. okay so, the good meaning is a female dog.  BITCH !!!!!!!!!It also stands for the name Brittany Fellows—Preceding unsigned comment added by   •    

 ==etymology== 
 The word bitch is from the Old Norse Bikkjuna meaning """"female of the dog"""" of unknown origin, Grimm derives the Old Norse words from Lapp Pittja, But OED notes that """"the converse is equally possible."""" 
 The adj. Bitchy was first seen in 1925.  
 The verb meaning to complain in 1930. 
 Slang Bitchen """"good"""" is attested to the 1950's 

 == reclaiming the word bitch == 
 The word bitch is actually only offencive in American and Canadian English. In most other English variants bitch maintains it's correct definition - female canine. People have argued that bitch is different because it is used as an insult - but so is """"pig"""", """"dog"""", """"cow"""" and others. These are not considered profane, so why is bitch? As far as I am concerned, there is nothing to """"reclaim"""" as bitch simply means a female canine. 

 It may be used as a pejorative or descriptor - that does not make it a profanity. 

    
 It should definately say something about Kyle Vanderweilen and all his bitchin Is there any particular evidence of women """"reclaiming"""" the word bitch in the 90s? Can anyone point to articles on this, etc.? The song is definitely interesting and belongs here, but doesn't actually reclaim the word """"bitch"""" any more than it reclaims the word """"sinner."""" 

 Also, I don't really understand the last paragraph and it sucks  I was going to try and clear it up, but I realized I don't know what it means. Can someone point to a source that lays out the argument about bitches, fertility and patriarchy more clearly? 

 

 :We don't need articles at all as I there are definitely enough examples (even outside of the 90s). Missy Elliot cleary and repeatedly reclaims the word, for instance, """"She's a Bitch"""".   

 ::References are fine  just the name """"Missy Elliot"""" got me to find a quote of a rolling stone review that mentioned """"reclaiming"""" the word. In fact, if some one knows more about her, it might be interesting to add a section on her work and on how it relates to women/slurs more generally within hip-hop.   

 :::How relevant is this reclamation? It seems to me poison for a woman to use an epithet which still strongly connotes despised traits. I don't see how using a word connoting """"querolous"""", """"spiteful"""", and """"malicious"""" can be empowering. But I don't know; life's a bitch.   

 ::::It stems from a reaction to the prevalence of tagging any woman who doesn't adhere to a certain standard of femininity as a bitch. To use a literary example, in the novel The Handmaid's Tale the narrator related the feeling that, whenever she outsmarted a man, she could almost hear him calling her a bitch in his mind, even her own husband. -   

 :::::That literary reaction you recited is jealousy; men have names for other men who outsmart them too, but, not having a word like """"bitch"""" for them, they have to resort to a greater variety of pejoritive epithets. Though you haven't been specific, I think that standard of femininity you referred to is a pretext for subordination, which both sexes often strive to impose on the other, but men have traditionally had more power. Because it is such a popular epithet in slang, the connotations of """"bitch"""" are diffuse, though still commonly pernicious. I think bitch, in itself, is not chiefly a denunciation to punish women who do not conform to that standard, but rather a contemptuous word often used for it. 

 :::::However, I still don't see the point of reclamati",0
REDIRECT Talk:Mi Vida Eres Tú,0
""" 
 I'm not convinced that he was blind. Where is this documented? It's possible that he was just what we'd call """"Legally blind"""" ie didn't have great vision, and that the name """"Blind Blake"""" is an exaggerated moniker. Although I have no proof I've got a feeling that him being legally blind is more likely than totally blind. Of course I've got no evidence to back that thing up.""",0
""" 

 == Ref: SS Ponzi Scheme == 

 Hi Padillah, 
 It is not my opinion that I am trying to impose here, although it may appear to be so. I am just highlighting the fact that it remains controversial whether it is or isn't a Ponzi Scheme (even if a legal one), so you cannot state as a fact that it is not a Ponzi Scheme (I saw the reference, and the perpetrator itself cannot be treated as a """"reliable source""""). In fact, claiming it is not a Ponzi Scheme seems to be an opinion in itself. My point is that a claim should not be made either way, and the edit in question just accomplishes that.  
 Thank you, 
 Virat""",0
"== September 20th Truce == 

 According to several news sources, a truce was reached in Minsk last night. http://www.bbc.com/news/world-europe-29290246",0
"I'd never think I'd need to say it, but Wikipedia isn't a fansite discussion board. If anything is unannounced by any authority, it might as well be false. MMORPGs are overrated,",0
But this is not the article about government position but about the reaction. Add positions to 2008 Kosovo declaration of independence or Foreign relations of Kosovo.,0
DJ Robinson is gay as hell! he sucks his dick so much!!!!!,1
"== Dracula's Grandmother == 

  
 Dracula's grandmother was a Bulgarian princess, the sister of Ivan Sratzimir. The links with the lands across the Danube remain largely unexamined. I would appreciate any serious contributions. 
 (Kaloyan)",0
"*I agree with Billfruge. The author describes the unverifiable nature of the two competing etymology theories sufficiently well so as not to mislead any reader, renders an opinion as to which of the two is more likely (and it is clear that this is the author's opinion), and presents the reader with the opportunity to accept either or neither of the two.",0
I WILL BURN YOU TO HELL IF YOU REVOKE MY TALK PAGE ACCESS!!!!!!!!!!!!!,0
"== Can you work your magic? == 

 Hi.  I was wondring if you had time to help out with Wikipedia:Featured article candidates/W. E. B. Du Bois/archive1.  Any input would be appreciated:  a quick scan or a full review.  I've noticed your work before and I respect your skills. Thanks.",0
":Fuck off, you anti-semitic cunt.  |",1
Puwersa ng Masa!,0
""" 
 :There are now four references, including Britannica, giving the correct date, which is getting silly. You complain in your edit summary that you can't find them, so I've added quotes to two, to help you out. After that you're on your own: WP:SOURCEACCESS has more on this. I'm happy to concede that Britannica, alone, mentions the date you offer (but without explaining the context), so that's one of the sources I've expanded with a quote specifically mentioning 23 August.  

 :Russian Wikipedia has: """"23 августа силы 14-го танкового корпуса армии Паулюса вышли к Волге севернее Сталинграда""""  (""""August 23 forces of the 14th Tank Corps, Army [of] Paulus, reached the Volga north of Stalingrad""""), cited from the war diary of Colonel-General Franz Haider.  

 :  """,0
REDIRECT Talk:Kemp's thicket rat,0
""" 
 ::Use of """"assisted suicide"""" to refer to aid in dying is inaccurate in fourth distinctive ways. First, it was coined by Catholic activists disputing Oregon's Measure 16 in 1994 - so it carries a political bias. Second, the laws in Oregon, Washington and Vermont each do not contain the term """"assisted suicide"""" but use aid in dying. Third, assisting a suicide remains illegal in all three states - and also Montana and New Mexico. No state attorney general or county district attorney has charged any physician or pharmacist who acted within the aid in dying laws of the three states. Finally, describing people who use aid in dying, such as Brittany Maynard, suicides grossly misrepresents their experience and devalues both their lives and deaths. Continued usage of the biased and inaccurate term should be amended throughout Wikipedia.   """,0
See also . . . http://arxiv.org/abs/hep-ph/0009204,0
"May 2010  
  Please stop. If you continue to delete or edit legitimate talk page comments, as you did at Talk:Deepwater Horizon oil spill, you may be blocked for vandalism.      
 :If this is a shared IP address, and you didn't make the edit, consider creating an account for yourself so you can avoid further irrelevant notices.",0
"== BrandonYusofToropov has requested mediation over a conflict with you == 

 Ed, [User:BrandonYusofToropov|BrandonYusofToropov] has requested mediation over a conflict with you. I am willing to mediate the dispute. Do you accept? If so, please end me an email at pgunn@dachte.org.",0
""" 
 :That is ridiculous. Unless there's a good and non-disingenuous response, I would absolutely agree with you blocking indef outright. Falsifying sources should simply never be tolerated. //  """,0
"How dare you vandalize that page about the HMS Beagle! Don't vandalize again, demon!",1
aapn bhtla aanand jhala..,0
"::No, he is an arrogant, self serving, immature idiot. Get it right.",1
""" 

 You wrote: 

 You will need to cite reliable sources for the assertions """"far too large to be chemical"""" and """"no endothermic storage events"""". I do not think any source can conclusively estabish either point . . . 

 It is very easy to establish both points, and there are hundreds of papers with proof of them. 

 1. The limits of chemical storage (electron bonds) are well understood. The most energy dense chemicals, such as gasoline, store 4 to 8 eV per atom. Cold fusion reactions have often produced far more than this, ranging from ~100 to ~100,000 eV per atom of the material in the cell, and in all cases there is no chemical fuel before the reaction, and no chemical ash after it finishes. Cell with a few grams of inert material in them have produced hundreds of megajoules of heat  as much as several kilograms of gasoline. if you were to burn the cell contents, they would produce only a tiny fraction of the heat. In fact, you could burn the cell, the table, and all books in the room and still get that much chemical energy. Therefore, chemistry is ruled out. 

 2. Any calorimeter can measure an endothermic event as accurately as it measures an exothermic event. For example, all calorimeters used in these studies show the endothermic formation of Pd-D at the beginning of the experiment. Since the calorimeters shows the exothermic excess heat, they would also show the endothermic storage that proceeds it. They have never done this. The heat balance is always zero before the heat bursts, and after. 

 - Jed Rothwell 

  
 HERE IS more useful information that someone keeps erasing: 

 Please note that Cal Tech (Lewis et al.) is a false negative, as pointed out by Noninski, Miles and Fleischmann. This is described in several papers, for example this one, p. 20: 

 http://lenr-canr.org/acrobat/MilesMisoperibol.pdf 

 Also, the name is Julian Schwinger (with ch). See: 

 http://lenr-canr.org/acrobat/SchwingerJcoldfusiona.pdf 

 - Jed Rothwell, Librarian, LENR-CANR.org""",0
:Thanks for the comment about Wiki-defenderness. I like that one. I usually wikiling Wiki-defender. I agree that at first he was somewhat innocent but now have my doubts as he is being really agressive about the whole matter.,0
"It might not have been your intention, but your recent edit removed content from . Please be careful not to remove content from Wikipedia without a valid reason, which you should specify in the edit summary or on the article's talk page. Take a look at our welcome page to learn more about contributing to this encyclopedia. Thank you.  A link to the edit I have reverted can be found here: link. If you believe this edit should not have been reverted, please contact me.  ||Suggestions?",0
"Agree, but that's not the issue. The queston is, in everyday English, does first amendent refer primarily to the US Constitution, or is it ambiguous? My belief remains that even fifth amendment is ambiguous, and first amendment even more so.     
 *",0
""" 

 == Main towns that are not so main == 

 I know that you love to write a one sentence article. But, if you want to do that, please, at least do it properly. Stop saying """"X is a main town in Y, Z"""". What is so main about obscure towns?   """,0
""" 

 == Halliday == 

 Good to see another contributor to his article. If SFL is your thing, you might consider joining the Wikipedia:WikiProject_Linguistics/SFLSFL taskforce. Thanks.   """,0
""" 
 ::: That Stephen Barrett is not Board Certified is not a viewpoint. It is a fact (a well documented one at that). I don't see how WP:PROMINENCE applies.    """,0
":Could you do a precis of the material instead of just downloading a whole lot of stuff from somewhere else on the internet? I am only one editor here, but I do feel that the material you have provided could be cut down to fit the format of this article. More info could be provided in a seperate wikipedia article if necessary.",0
""" 

 == Cloud feedback == 

 Why is cloud feedback only under the positive feedbacks? Just about any paper states that it can be both. That the IPCC states that it is """"more likely a positive than a negative feedback"""" doesn't change that.   """,0
"Avg, plenty of Greeks love the King. Stop acting like all Greeks hate him. You just parrot what the government tells us via their 'media.' We Greeks asked George I to be our King. We supported them. They reclaimed much of our lands. We voted to keep them numerous times. In the 1930's by 97% vote! 
 Also, he tried to overthrow the dictators. Read a book. The Greek government is the biggest liars. The US didn't want us to have our King and our claim to Constantinople/Asia Minor. He is a direct descendant of five Greek imperial (Byzantine) dynasties (Monomachos, Comnenos, Laskaris, Angelos, and Paleologos).",0
This is a REDIRECT discussion page. Please do not leave article related discussion here.  Please go to the article's discussion page.,0
"== Second issue == 

 I'm thinking we need a taxonomy section; there are things that aren't really as clear as they maybe could be. Why is/what specific findings about the fossils places R. narmadensis in the subfamily Carnotaurinae? Why 'princely lizard of the Narmada'; is that significant as to the stature/behavior/predatorial prowess of R. narmadensis? If there is anything more precise on its taxonomy, such as that, it would be great to add.",0
"==Redirects== 
 トレイン・トレイン, トレイン トレイン, トレイントレイン, トレイン-トレイン, トレイン+トレイン, トレイン*トレイン, トレイン, トレイン, トレィン☆トレィン, Torein・Torein, Torein Torein, Torein-Torein, Torein+Torein, Torein*Torein, Torein, Torein, Torein☆Torein, Train・Train, Train☆Train, トレイン—トレイン, Torein—Torein, Train—Train, トレイン–トレイン, Torein–Torein, Train–Train 

 should redirect here",0
"السلام عليكم و رحمة الله و بركاته الا الجميع 
 تفضلوا جميعا",0
"""   

 ::::::::::::::Another priceless gem from yourself demonstrating your general cluelessness: ,""""The fuse rating (and therefore the plug rating in the case of a non-rewireable plug) is determined by the cable attached, not the appliance it will be used with."""". Where on earth did you dig that nonsense up from? There are plenty of good examples around, but medium to large switch mode power supplies are often supplied with nominally 3 Amp cable in a moulded on plug, many with an IEC 60320 C7 type plug (rated by that standard at 2.5 Amps). According to you, the plug should therefore be fitted with a 3 Amp fuse (determined by the cable). If you did so, you would never get any but the smallest power supplies running. You have to fit a 5 Amp fuse because the very large >40 Amp momentary inrush current lasts long enough that it will blow a 3 Amp fuse. The cable and plug can retain their original ratings because the inrush current will not harm them. The rating of the fuse is determined by much much more than the cable size alone. Indeed, the type of power supply that is built into a plug usually has no fuse at all!   17:17""",0
"""This is just bizarre. Ani Medjool's abuse of wikipedia rules gets rewarded, and then he awards you a barnstar.  WTF?  Anyhow a new person, adept at ridicule, has joined in the conversation at falafel.  Sigh...   

 """,0
""" 

 Firstly still making undiffable edits and refusing to use edit summaries is becoming a behavioural issue that will need to be escalated if it doesn't stop. Gun, I really don't understand why you find it so hard to follow the basic standards of behaviour required to edit in a collaborative environment. 

 Secondly, """"announcing"""" changes on someone's talk page doesn't really count as discussing them collaboratively, rather it means you discussed it with me. 

 Furthermore I told you to go to the NPOV noticeboard to raise the State University vs University issue if you wanted to discuss the issue, which you a) failed to do, b) you removed the disputed tag from the article without a result (as I suggested waiting until later), c) you made yet another diff which contained a large number of other unknown, unknowable and undisucssed changes to the article.   <> """,0
""" 

 ==Name in the introductory paragraph== 
 I've always been told that using """"Dr."""" & """"Ph.D."""" in the same name was incorrect, as the Ph.D. automatically conferred the status of doctor.   However, I'm not sure what to do in this case.  Since he is so well-known as """"Dr. Martin Luther King, Jr.,"""" the normal approach of dropping """"Dr."""" and keeping """"Ph.D."""" doesn't seem to be the best answer, even though it's the one most style guides seem to endorse.  Would someone more intimately familliar with the article like to take a swing at changing it, or suggesting an alternative?   """,0
"== Mrpainkiller, Neurophyte and Jean-Philippe == 

 After a complaint at intervention against vandalism, I protected the article VampireFreaks.com.  It was either that, or block all of you for disruption and personal attacks.  I will unprotect the article in the morning.  In the meantime, please consider the following: 
 *Reverting another user's talk page is pretty rude.  There is a policy conflict between the user talk page policy, which says users can blank or archive warnings (although archiving is preferred by the community) and the vandalism policy, which says that removing warnings given to you is vandalism.  I don't agree with the vandalism point of view, and I haven't seen a lot of support for it lately except among people who are fighting amongst themselves for other reasons.  If someone deletes a warning they've obviously seen it.  If you are concerned about someone's edits, use a verbose edit summary so that even if the warning is removed the edit summary will be visible. 
 *I understand there is a view among two of you that Mrpainkiller7's edits are detrimental to the article.  There are lots of right ways to deal with this, including editing by consensus, Request for comment on the article or the user, Mediation, and third opinion.  I'm not going to judge the content, but fighting (wherever it occurs) is the wrong way to deal with the problem. 
 *Personal attacks are not to be tolerated.  Please deal with the content of edits, not character.  

 I'm leaving this message with each of you.  If you keep fighting over talk pages, I suppose I or another admin will eventually figure it's time to block someone.  Unless you are positive that you are 100% right and the other guy is 100% wrong, you should probably try and work this out peacefully in case the admins don't see things your way.",0
"== hrthrtdghrsdtghtrsdhtrhdgthjrtgh == 

 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffhngviudfhgoiuerhgukfhkjgeruighervyfdohgobvijgfjgojfdhgjofhglkfhboerhgbdhoifdtyklerbhlkjhbdjgbojtgofgjrfjhlrkhilebotrjbh9jtrohibjrtlhujty;junmoytijoryjhigfjhgfjnifgjgfhkljtgilhjfdojgfdojgfkjngfdlkjgnklfgikfvihgifbfhbgkufbdsukfgglkdhvureuhgiurhgh4irtgyrehgui4t7iryggoifhgo54oerygtjeiygut8gopfe8gig89fjhg9r8tyr8hygb7hruegfigust8g0r0retugrijtrir6tihviurhgnviurwt,kcnguiergvknfgioerpjgklfupgrojgoirutkdhgl;rehgljkgyuorihfgiurwyhoug6y3oi4hg98w6u jtgnkjryt9jgoidug059jgiufd7teurjg98etujoijfgiosdug 0945ojtg0o8reuyjurfi ug945uj ygoip5uj5tg;eoiu495yp;w8y5urtg9ui8hui9g85w4mftmuv89tny0uvg8ytihguihfdkjvhu4krngkfdjs hgkjfghoeruygrhy goh tgoiugkiughgvhghghghhgghhghghghghghghghhhhhgtherkgheefjgsefdghh",0
"== black mamba == 

 It.is ponious snake of the word and but it not kills many people but king cobra kills many people in India",0
:::Looks like this was an old issue so I took the liberty of removing it. I don't see any difference between the non-spaced version and the spaced version now. The spaced version just makes the intro look very strange.,0
"**I just revamped WP:FART, I thought a little housekeeping would give it more street cred.",0
""" 

 ==US== 
 I'm trying not to just be a whinger and a hand waver here, but it annoys me that there's an entire section devoted to left vs. right politics in the US, yet there's nothing similar regarding the rest of the world. The US bias of wikipedia is very irritating sometimes, though it shouldn't be, as most Internet users are in the U.S. In other words, i'm a whiny European who is too lazy to write a non US section. 

 From the US>  That's easy to fix.  Start writing more about non-US views on topics, creating topics, and  getting your friends to help.  Something that is created by users being called biased only reflects the predominant users posting and thus can easily be remedied. 

 Also from the US> No, it's NOT so easy to fix. Throughout Wikipedia you will see entries from (obviously) American authors who have no concept of a world view and automatically write from a US perspective without any attempt to qualify their language. What, therefore, tends to happen is that the US view becomes a default with international views living in ghetto-ized paragraphs.     

 Also from the US> That is actually kind of the problem with Wikipedia all around in the first place, and that is that popular ideas are not necessarily correct. You can have people posting information about the corruptibility of whatever organization, but then the organization can have its people change the entry the next day.  —Preceding unsigned comment added by     

  
 This entire dicussion lends a great deal of credibilty to the idea that the left-right spectrum poorly represents political and economic views.  It seems to me that most of the debate below is equivalent to attempting to define the square root of negative 1 with only real numbers at our disposal.  It is painfully obvious that politics is muli-dimensional.  The most that can be hoped for here is to describe how the left-right spectrum is used and leave it at that.  This should probably be a very short article.  —Preceding unsigned comment added by     

 == Better Chart == 

 I think that this page needs a metter chart. Like this one http://studentnewsdaily.com/conservative_vs_liberal_beliefs.shtml    

  
 Edit  

 I actually think that the article, in fact the whole political movement, needs a better definition of """"left-right"""". Most political parties cannot adhere to a single category, including revolutionnary movements and far-right groups, as described somewhere else in the discussion. 

 I suggest a new use of the """"left-right"""" compass. 

 The political compass uses the """"square"""" system with two axis  x and y (social and économic), which is not very accurate because I know my political ideas, and they tend to be pretty nearer to Mussolini than to Gandhi. Whatever. 

 What I suggest is a cube! 

 3 axis  x, y and z 

 Économic 
 Social 
 Politic 

 The first one defines the market system (if any) of a political group. 
 The second defines the social standing of a political group about the welfare of the people (welfare checks/charity, private/public school/medical system, etc) 
 The thirds one is, basically, the way a society treats it's people (rehabilitation/punishment, democracy/totaliratism (in which I include Soviet Communism!) etc) 

 What do you think?  —Preceding unsigned comment added by     

 == Interesting book == 

 I came across this book: Left and Right in Global Politics 
 by Alain Noël and Jean-Philippe Thérien.  I haven't read it yet but it seems to be of great interest.    

 == Removing unneccessary detail == 

 I am removing several paragraphs that are unhelpful to the article: 
 * Edmund Burke - terms left and right not used in UK then 
 * Adam Smith - terms left and r",0
:Does J.P. Harris have anything to say about the Ancre?,0
"== Don't feed the troll == 

 Responding with taunting is exactly the wrong way to respond.  Don't feed the troll.  Remove the post without comment, or don't do anything at all.",0
""" 

 :Please accept my apologies.  I interpreted your statement """"Find a quote yourself, or move it, I don't care"""" to mean that you thought the source could be removed instead of finding a quote.  My mistake!   """,0
":::While I tend to agree with all of this and am as slightly annoyed as anyone that we appear to have been blamed even though our article was accurate and respectful at all times, and Mr. Roth was treated with dignity and respect at all times... it's always in my nature to think about how we might do better in the future.",0
":I appreciate you asking, RoyBoy.  My response may seem a lot less appreciative. 

 :It violates WP:V.  In a word, it is tendentious, just like the one that's been forced into the abortion article.  It is still a POV pushing, unsourced compromise with a small group and its meat puppets.  Even the medical definition is abbreviated and distorted as the result of the context, suggesting death is part of the medically accepted definition of abortion. 

 :Here’s yet another source to add to the ignored source list.  The ‘’Oxford Thesaurus’’:  In all the entries that contain abortion, death (including its variants) is not listed.  The main entries include miscarriage, monster, prevention, termination, and veto. 

 :I think the only potential solution for this now is arbitration.",0
""" 

 :::I just reread the section...I have no idea why the section is labeled """"Views of the Faithful"""".  The section has very little to do with Mormon viewpoints and is a hodgepodge of critiques mixed with minor Mormon viewpoints.  It definitely needs work.  However, I still will like for your specific ideas so that they could be incorporated, GMK.   """,0
"==Vandalism== 

 Hello Barbara.  
 It appears you have a long history of vandalism, and after another incident I am afraid I have no choice but to request a 'permanent ban from administrators. I wish you good luck for the future.",0
All the other DAPs have similar links and no one has complained.,0
":::also fwiw I nominated polyamorous people for deleting, take a look and weigh in if you like.",0
"Since you have no further defence of your unsubstantiated claims of unreliability, or to your oversight of precise statements in the provided citations that Israel indeed broke the ceasefire (thus rendering your claim of 'editorialising' refuted), I will post a WP:3O.",0
I have 10 pictures of armed gaddafi loyalists (mostly from 2013-2014) they are all taken from facebook/YT videos would they be classified as fair use?,0
"== Hands off my noobs P == 

 It's not that I'm particularly concerned about the loss of , but did you really need to step in and hardblock there? 

 I saw the test edits. I saw the username that, while not violating any particular part of policy, managed to be an astoundingly bad choice of username anyway. I responded to these issues with the warning I felt was appropriate, feeling that the user could have a second chance under a less moronic username. 

 Yes, I am more patient with newbies who screw up than you are. We can each have our own approach to adminship. But I don't unblock and warn noobs you've just hardblocked, so how about you don't hardblock noobs I've just warned? 

 And if this was just an oversight, that's fine. Again, it is unlikely that Wikipedia will suffer from the loss of this user.",0
"EdJohnston you are wrong, I did not file the report, BenHen1997 did. You also did not block the other person but only one of the several IPs they were using.",0
""" 

 == Shameless Canvass == 

 Hello, Diannaa! Thanks for blocking that horrible puke again. When I """"translate""""  on your page I get mad. He is just a total piece of garbage. Thanks again!   """,0
"WHAT THE HELL 

   Justin",0
""" 
 :We've gone through those """"more than enough contemporary scholars"""" and their """"sources"""" long ago and all those sources were in reality rejected. See the archives and the discussions. Again, per Georgians scripts you cannot have that kind of wording because this is way too much controversial and disputed issue and everything concerning the Georgian script or its origins should be based upon its main article. You cannot claim A in one article and B in another. So please, leave out this edit warring and get aware those long discussions at the Georgian scripts article. It is a very complex issue and you cannot describe it in one sentence by bombarding it with some cherry picked sources.  """,0
""" 
 ::::To the individual who is so insistent to add all the """"future destinations"""", take a look at WP:NOTCRYSTAL. While you may have reference sources to the information posted, it's just PURE SPECULATION and cannot be verified. Nothing is firmed except London.   """,0
"WP:SOAPBOX, WP:FORUM, etc. Please engage in your conspiratorial fantasies elsewhere.",0
The specific page linked to is just junk in regards to our policies on sources - check it for yourself.,0
"on February 21, 2015.",0
":::::::::The rapcore article cites 15 sources which back up all information stated, including the basics of the genre. The only person who is evading anything is Ridernyc, who avoids any instance in which he would be forced to admit that he is wrong. (  )",0
"just a community post: isnt DB2FSS a First trimester screening, a prenatal test aimed to detect diseases or conditions in a fetus or embryo",0
"::::Buffoon Synonyms:    bozo, buffo, clown, comedian, comic, fool, harlequin, humorist, idiot, jerk, jester, joker, merry-andrew, mime, mimic, mummer, playboy, prankster, ridicule, stooge, wag, wit, zany.",0
""" 

  
 == Confusion upon Globus == 
 Shouldn't we mention that professor posses a huge penis? And I'm not joking. It doesn't seem very apropriate given that it is a children series and thus I find it amusing and strange. (maybe it's not important, bit what about the """"once apon a time"""" section, I find it similar) To be clear what am I talking about, here is a picture: http://i2.photobucket.com/albums/y15/odinchoy/fserie_vie06.gif (Globus is the man on the right side) I mean this seriously ;)   """,0
":Eek, but shes cute in an earthy kind of way. Cant sing for shit though. Thanks for giving me an unhappy memory.",1
::::'Found' them? He has already told us that the documents concern his registration of the name 'El Marino'. As to whether these supposed documents say anything whatsoever about a newspaper published in 1917 I have no idea - but they aren't a third-party source either way. They are primary-source documents confirming his personal actions.,0
""" 
 :::""""Draga"""", apparently means """"Dear"""" (Google Translate). Yes, I am able to understand almost every Romance language at an intermediate level. I never stated that I could """"speak"""" Romanian. Also, I removed the babel list because I could not find a proper position for it, as it took too much space and made my userpage long. How is that any of your concern?   """,0
"==Wikimania== 
 Hello.  We're chatting right now at Wikimania.  Pleased to meet you.",0
"Thanks for experimenting with Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia. Thanks.     (comment moved from user page by  )",0
"for all peoples living East of a certain line, like the Vistula, because he distinguishes them from other large ethnic groups in the same area, the Fenni (probably Finno-Ugric) and the Sarmatians themselves. Taking that together with Jordanes'",0
""" 

 P.S. IMHO, this all falls under the category created by  on her talk page, which she appropriately refers to as """"loopy talk page discussions/scoldings.""""  """,0
REDIRECT Talk:Ponhook Lake 10,0
